Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,57,5816,3399,2427,397,915,86,1502,8537,33,230
/bitcar/platform/Backend/,57,5816,3399,2427,397,915,86,1502,8537,33,230
/bitcar/platform/Backend/\factories,9,299,163,101,10,66,0,70,202,0,0
/bitcar/platform/Backend/\governance,8,584,257,202,15,80,6,247,1163,0,0
/bitcar/platform/Backend/\libs,6,545,255,143,18,65,7,225,1214,0,0
/bitcar/platform/Backend/\libs\ownership,1,97,46,36,1,14,2,37,208,0,0
/bitcar/platform/Backend/\libs\rbac,2,183,81,59,9,25,4,77,400,0,0
/bitcar/platform/Backend/\lifecycle,4,438,228,147,15,61,1,149,768,0,0
/bitcar/platform/Backend/\platform,20,1784,961,728,71,373,16,450,2402,7,35
/bitcar/platform/Backend/\platform\interfaces,8,141,93,72,0,44,0,4,22,0,0
/bitcar/platform/Backend/\platform\kyc,1,149,99,59,2,11,0,39,199,0,0
/bitcar/platform/Backend/\platform\ranktracker,2,180,94,70,10,40,0,46,249,0,0
/bitcar/platform/Backend/\token,5,573,327,199,36,88,6,158,1320,0,0
/bitcar/platform/Backend/\token\Asset,3,427,254,140,23,60,4,113,912,0,0
/bitcar/platform/Backend/\token\Platform,2,146,73,59,13,28,2,45,408,0,0
/bitcar/platform/Backend/\vendor,2,1395,1095,824,219,136,49,164,1272,26,195
/bitcar/platform/Backend/\whitelist,2,173,94,70,12,40,1,39,196,0,0
